molecule_chembl_id;canonical_smiles;standard_value;bioactivity_class
CHEMBL2368201;O=C1C[C@H](O)C[C@@H](/C=C/c2c(-c3ccc(F)cc3)cc(-c3ccccc3)nc2C2CCCCC2)O1;5000.0;active
CHEMBL2368185;CC(C)c1nc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;18.0;active
CHEMBL503;CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;50.0;active
CHEMBL2368188;CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;5.0;active
CHEMBL2368197;CC(C)c1nc(C(C)(C)C)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;20.0;active
CHEMBL2111271;Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1;2000.0;active
CHEMBL2368190;CC(C)c1nc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1;4.8;active
CHEMBL2368198;Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1;50.0;active
CHEMBL2111238;Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C\[C@@H]1C[C@@H](O)CC(=O)O1;5000.0;active
CHEMBL2111268;Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;90.0;active
CHEMBL2368199;CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;5.0;active
CHEMBL156695;CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1;370.0;active
CHEMBL2368200;CC(C)c1cc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;10.0;active
CHEMBL2368205;Cc1ccc(C)c(-c2cc(-c3ccc(F)cc3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C(C)C)n2)c1;20.0;active
CHEMBL2368194;COc1ccc(-c2cc(-c3ccccc3)nc(C(C)C)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1;150.0;active
CHEMBL2368202;CC(C)c1nc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;7.5;active
CHEMBL2368191;CC(C)c1nc(C2CCCCC2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1;9.5;active
CHEMBL503;CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;20.0;active
